device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M602F,2024-11-28 15:23:05,2024-12-03 13:13:05,117.83,4.00,3.60,17.30,8.73,17.29,57.00,84.00,64.59,7.78,0.92,2.75,1.03,0.14,4.90,12.45,-6.42,23.78,59.00,66.00,48.50,76.50,1.00,1.05,0.92,1.12,0,0,25,8,1
VC6M602F,2024-11-28 15:23:05,2024-12-03 13:13:05,117.83,4.00,3.60,17.30,8.73,17.29,57.00,84.00,64.59,7.78,0.92,2.75,1.03,0.14,4.90,12.45,-6.42,23.78,59.00,66.00,48.50,76.50,1.00,1.05,0.92,1.12,0,0,25,8,1
VC6M602F,2024-11-28 15:23:05,2024-12-03 13:13:05,117.83,4.00,3.60,17.30,8.73,17.29,57.00,84.00,64.59,7.78,0.92,2.75,1.03,0.14,4.90,12.45,-6.42,23.78,59.00,66.00,48.50,76.50,1.00,1.05,0.92,1.12,1,0,25,8,1
VC6M602F,2024-11-28 15:23:05,2024-12-03 13:13:05,117.83,4.00,3.60,17.30,8.73,17.29,57.00,84.00,64.59,7.78,0.92,2.75,1.03,0.14,4.90,12.45,-6.42,23.78,59.00,66.00,48.50,76.50,1.00,1.05,0.92,1.12,1,0,25,8,1
VC6M6030,2024-12-11 02:24:10,2024-12-13 11:04:10,56.67,2.00,1.70,9.40,7.06,6.31,48.00,64.00,52.28,5.31,1.10,1.50,1.12,0.06,7.10,9.10,4.10,12.10,49.00,51.00,46.00,54.00,1.10,1.10,1.10,1.10,0,23,23,19,0
VC6M6030,2024-12-11 02:24:10,2024-12-13 11:04:10,56.67,2.00,1.70,9.40,7.06,6.31,48.00,64.00,52.28,5.31,1.10,1.50,1.12,0.06,7.10,9.10,4.10,12.10,49.00,51.00,46.00,54.00,1.10,1.10,1.10,1.10,0,23,23,19,0
VC6M6032,2024-12-02 13:31:57,2024-12-03 13:21:57,23.83,0.00,0.50,15.30,6.30,17.22,58.00,70.00,65.40,2.26,0.93,1.40,0.96,0.06,2.80,9.73,-7.59,20.11,65.00,67.00,62.00,70.00,0.94,0.97,0.89,1.02,0,0,9,6,0
VC6M6032,2024-12-02 13:31:57,2024-12-03 13:21:57,23.83,0.00,0.50,15.30,6.30,17.22,58.00,70.00,65.40,2.26,0.93,1.40,0.96,0.06,2.80,9.73,-7.59,20.11,65.00,67.00,62.00,70.00,0.94,0.97,0.89,1.02,0,0,9,6,0
VC6M6033,2024-11-18 11:33:25,2024-12-22 03:23:25,807.83,33.00,-4.70,24.70,2.93,25.23,26.00,95.00,57.71,12.72,0.89,2.18,0.99,0.07,-0.50,4.50,-8.00,12.00,49.00,63.00,28.00,84.00,0.93,1.03,0.78,1.18,0,69,82,19,1
VC6M6033,2024-11-18 11:33:25,2024-12-22 03:23:25,807.83,33.00,-4.70,24.70,2.93,25.23,26.00,95.00,57.71,12.72,0.89,2.18,0.99,0.07,-0.50,4.50,-8.00,12.00,49.00,63.00,28.00,84.00,0.93,1.03,0.78,1.18,1,69,82,19,1
